year,region,technology,value
1990,UK,CoalMine,25.0
2000,UK,CoalMine,56.25
2010,UK,CoalMine,18.75
2020,UK,CoalMine,0.0
1990,DE,GasExtractor,37.5
2000,DE,GasExtractor,84.375
2010,DE,GasExtractor,28.125
2020,DE,GasExtractor,0.0
1990,NO,GasExtractor,30.0
2000,NO,GasExtractor,67.5
2010,NO,GasExtractor,22.5
2020,NO,GasExtractor,0.0
2000,UK,GasPowerPlant,0.75
2010,UK,GasPowerPlant,1.6875
2020,UK,GasPowerPlant,0.5625
2030,UK,GasPowerPlant,0.0
2000,NO,GasPowerPlant,7.5
2010,NO,GasPowerPlant,16.875
2020,NO,GasPowerPlant,5.625
2030,NO,GasPowerPlant,0.0
2000,FR,GasPowerPlant,1.0
2010,FR,GasPowerPlant,2.25
2020,FR,GasPowerPlant,0.75
2030,FR,GasPowerPlant,0.0
2000,UK,CoalCHPPlant,25.0
2010,UK,CoalCHPPlant,56.25
2020,UK,CoalCHPPlant,18.75
2030,UK,CoalCHPPlant,0.0
2000,FR,CoalCHPPlant,5.0
2010,FR,CoalCHPPlant,11.25
2020,FR,CoalCHPPlant,3.75
2030,FR,CoalCHPPlant,0.0
2000,DK,CoalCHPPlant,2.5
2010,DK,CoalCHPPlant,5.625
2020,DK,CoalCHPPlant,1.875
2030,DK,CoalCHPPlant,0.0
2000,UK,GasCHPPlant,5.0
2010,UK,GasCHPPlant,11.25
2020,UK,GasCHPPlant,3.75
2030,UK,GasCHPPlant,0.0
2000,DE,GasCHPPlant,50.0
2010,DE,GasCHPPlant,112.5
2020,DE,GasCHPPlant,37.5
2030,DE,GasCHPPlant,0.0
2000,NO,GasCHPPlant,3.0
2010,NO,GasCHPPlant,6.75
2020,NO,GasCHPPlant,2.25
2030,NO,GasCHPPlant,0.0
2000,FR,GasCHPPlant,3.0
2010,FR,GasCHPPlant,6.75
2020,FR,GasCHPPlant,2.25
2030,FR,GasCHPPlant,0.0
2000,DK,GasCHPPlant,6.25
2010,DK,GasCHPPlant,14.0625
2020,DK,GasCHPPlant,4.6875
2030,DK,GasCHPPlant,0.0
2010,UK,SolarPV,25.0
2020,UK,SolarPV,15.0
2030,UK,SolarPV,15.0
2040,UK,SolarPV,0.0
2010,DE,SolarPV,37.5
2020,DE,SolarPV,22.5
2030,DE,SolarPV,22.5
2040,DE,SolarPV,0.0
2010,NO,SolarPV,9.375
2020,NO,SolarPV,5.625
2030,NO,SolarPV,5.625
2040,NO,SolarPV,0.0
2010,FR,SolarPV,62.5
2020,FR,SolarPV,37.5
2030,FR,SolarPV,37.5
2040,FR,SolarPV,0.0
2010,DK,SolarPV,12.5
2020,DK,SolarPV,7.5
2030,DK,SolarPV,7.5
2040,DK,SolarPV,0.0
2010,UK,WindOnshore,50.0
2020,UK,WindOnshore,30.0
2030,UK,WindOnshore,30.0
2040,UK,WindOnshore,0.0
2010,DE,WindOnshore,25.0
