Year,Region,Technology,value
2020,DE,GasCHPPlant,2023.2340029249258
2030,DE,GasCHPPlant,1070.1653955139075
2040,DE,GasCHPPlant,999.2389632025586
2050,DE,GasCHPPlant,35.74724399999997
2020,FR,GasPowerPlantCC,41.849256479117756
2030,FR,GasPowerPlantCC,23.837136962111565
2040,FR,GasPowerPlantCC,6.9388562410513135
2020,NO,GasPowerPlantCC,1389.642381162565
2030,NO,GasPowerPlantCC,999.0990301521327
2040,NO,GasPowerPlantCC,1022.0184637228753
2020,FR,CoalCHPPlantCC,1856.0883818992197
2030,FR,CoalCHPPlantCC,1150.088208111382
2020,DK,CoalCHPPlantCC,147.72928000000002
2020,UK,CoalCHPPlantCC,4811.725339632077
2030,UK,CoalCHPPlantCC,3760.776035336435
2020,DE,GasCHPPlantCC,4168.014663611473
2030,DE,GasCHPPlantCC,3187.9107741244807
2040,DE,GasCHPPlantCC,2376.0310934379536
2050,DE,GasCHPPlantCC,141.36748560000004
2020,FR,GasCHPPlantCC,208.97144260907731
2030,FR,GasCHPPlantCC,496.6054496555569
2040,FR,GasCHPPlantCC,1042.4528912601654
2050,FR,GasCHPPlantCC,370.3691841436367
2020,NO,GasCHPPlantCC,485.40511171988976
2030,NO,GasCHPPlantCC,502.9933713540032
2040,NO,GasCHPPlantCC,447.45592784613785
2050,NO,GasCHPPlantCC,100.26138948568439
2020,DK,GasCHPPlantCC,951.7567977446399
2030,DK,GasCHPPlantCC,1210.9437036186089
2040,DK,GasCHPPlantCC,1323.3447684000012
2050,DK,GasCHPPlantCC,406.53196920000005
2020,UK,GasCHPPlantCC,198.71443009098206
2030,UK,GasCHPPlantCC,742.5263593870255
2040,UK,GasCHPPlantCC,1601.329291239031
2050,UK,GasCHPPlantCC,596.6557443722594
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,1586.7936899999988
2020,FR,LPGCar,799.9665348635111
2030,FR,LPGCar,794.771675305986
2040,FR,LPGCar,446.0040751981435
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,218.18413237499996
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,238.01905349999979
2020,UK,LPGCar,557.3473284060682
2030,UK,LPGCar,505.83900487698276
2040,UK,LPGCar,231.8224860824716
2030,DE,BECCS,-823.546565625822
2040,DE,BECCS,-799.8301144407005
2050,DE,BECCS,-325.0
2020,FR,BECCS,-524.3980714478223
2030,FR,BECCS,-600.0
2040,FR,BECCS,-600.0
2050,FR,BECCS,-900.0
2020,NO,BECCS,-255.04279603505938
2030,NO,BECCS,-300.0
2040,NO,BECCS,-300.0
2050,NO,BECCS,-600.0
2020,DK,BECCS,-240.84802379230874
2030,DK,BECCS,-300.0
2040,DK,BECCS,-300.0
2050,DK,BECCS,-600.0
2020,UK,BECCS,-565.8806908861329
2030,UK,BECCS,-600.0
2040,UK,BECCS,-600.0
2050,UK,BECCS,-600.0
