Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,929.3276426652058
2040,UK,Battery,48,Power,174.53517935934187
2040,DK,Battery,111,Power,69.20500026280408
2020,DE,H2Tank,55,H2,52.48460710905462
2040,DE,Battery,5,Power,105.64716831303315
2050,DE,PHS,54,Power,398.7676655391733
2050,UK,PHS,46,Power,139.76882264674288
2030,FR,H2Tank,75,H2,11.874999999999998
2050,DE,PHS,59,Power,441.6879008574586
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,465.9064277549385
2020,DK,Battery,114,Power,4.353475365466381
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,30.53307059687153
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,4.983291204517245
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,530.8934349461787
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,18.25089784175625
2050,FR,Battery,93,Power,1045.035110437825
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,6.023597308355538
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,7.585497326018759
2030,NO,H2Tank,118,H2,14.984953414825
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,149.8010201833046
2030,FR,H2Tank,83,H2,46.92982456140351
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,39.34297426092911
2040,DK,Battery,105,Power,70.23618329051367
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,5.014206764703281
2030,DE,H2Tank,112,H2,9.230755242966488
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,17.17635449383347
2050,UK,H2Tank,7,H2,65.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,473.1808546893933
2030,DK,Battery,21,Power,-0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,5.015209756502483
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,299.5706459863271
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,23.54848321657894
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,531.265209045409
2020,DE,Battery,40,Power,-0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,152.34103832920664
2050,DE,PHS,65,Power,479.55604880732193
2030,DK,Battery,15,Power,0.0
2040,DE,Battery,49,Power,-0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,315.2966064798697
2040,UK,Battery,42,Power,173.02734172548045
2050,NO,H2Tank,93,H2,135.29347972342902
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,12.249805747154463
2020,DK,Battery,86,Power,10.997085937572269
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,-0.0
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,11.4375
2020,DK,Battery,60,Power,10.851379522372996
2050,DK,Battery,45,Power,13.684276401631996
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,106.35094273074169
2040,UK,Battery,79,Power,277.3807128855445
2020,NO,H2Tank,91,H2,0.5719100923178715
2030,DE,H2Tank,42,H2,28.068551505789475
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,970.3578825759641
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,114.33662280701753
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,40.51277699986609
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,86.01370019056014
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
