constraint,binding,count
DemandAdequacy,Binding,15313
DemandAdequacy,Non-binding,1487
ProductionCost,Binding,20
TotalCapacityFunction,Binding,208
TotalCapacityFunction,Non-binding,192
RetrofitResidualCapacityFunction,Binding,91
RetrofitResidualCapacityFunction,Non-binding,49
ResidualCapacityFunction,Non-binding,148
ResidualCapacityFunction,Binding,272
ProductionFunction_res,Binding,45725
ProductionFunction_res,Non-binding,4675
UseFunction,Non-binding,308726
UseFunction,Binding,27274
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,40
TotalStorageCapacityFunction,Non-binding,20
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79539
ImportExportBalance,Non-binding,4461
ProductionFuntion_disp,Binding,80123
ProductionFuntion_disp,Non-binding,205477
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,2
TotalSequesterLimitFunction,Non-binding,3
MaxCapacityFunction,Binding,86
MaxCapacityFunction,Non-binding,314
StorageChargeFunction,Non-binding,6573
StorageChargeFunction,Binding,627
StorageDischargeFunction,Binding,1047
StorageDischargeFunction,Non-binding,6153
MaxStorageLevelFunction,Non-binding,7039
MaxStorageLevelFunction,Binding,161
StorageMaxCapacityConstraint,Non-binding,29
StorageMaxCapacityConstraint,Binding,31
MaxImportFunction,Non-binding,65060
MaxImportFunction,Binding,18940
TotalCost,Non-binding,20
Production,Non-binding,141864
Production,Binding,194136
NewCapacity,Non-binding,181
NewCapacity,Binding,219
ResidualCapacity,Non-binding,609
ResidualCapacity,Binding,91
TotalCapacity,Non-binding,366
TotalCapacity,Binding,34
Use,Binding,278986
Use,Non-binding,57014
Curtailment,Binding,15313
Curtailment,Non-binding,1487
TotalStorageEnergyCapacity,Binding,2
TotalStorageEnergyCapacity,Non-binding,58
NewStorageEnergyCapacity,Non-binding,57
NewStorageEnergyCapacity,Binding,3
StorageCharge,Binding,5861
StorageCharge,Non-binding,1339
StorageDischarge,Non-binding,2858
StorageDischarge,Binding,4342
StorageLevel,Non-binding,6897
StorageLevel,Binding,303
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,51291
Import,Binding,32709
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
