Year,Region,Technology,value
2020,NO,GasPowerPlantCC,635.8890780669848
2030,NO,GasPowerPlantCC,515.9609202760305
2040,NO,GasPowerPlantCC,208.46736243422555
2020,FR,CoalCHPPlantCC,2026.7770467704374
2030,FR,CoalCHPPlantCC,1318.8005215786775
2040,FR,CoalCHPPlantCC,549.2893073963327
2020,UK,CoalCHPPlantCC,5438.191310596005
2030,UK,CoalCHPPlantCC,3454.562474627022
2040,UK,CoalCHPPlantCC,2548.0908518750566
2030,DE,GasCHPPlantCC,494.50230105967864
2040,DE,GasCHPPlantCC,3336.4433105791204
2050,DE,GasCHPPlantCC,2614.543883612064
2030,FR,GasCHPPlantCC,310.5407724555908
2040,FR,GasCHPPlantCC,914.866600095885
2050,FR,GasCHPPlantCC,490.257517030636
2020,NO,GasCHPPlantCC,420.18830296655557
2030,NO,GasCHPPlantCC,585.5791827088317
2040,NO,GasCHPPlantCC,501.14701327133776
2050,NO,GasCHPPlantCC,92.06317800000002
2020,DK,GasCHPPlantCC,615.2054039046749
2030,DK,GasCHPPlantCC,913.3248638894481
2040,DK,GasCHPPlantCC,1164.5032500000004
2050,DK,GasCHPPlantCC,358.62082873163126
2030,UK,GasCHPPlantCC,334.93722964214277
2040,UK,GasCHPPlantCC,1285.7130514844146
2050,UK,GasCHPPlantCC,734.0508177535207
