Year,Region,Technology,value
2020,FR,CoalPowerPlantCC,113.40671132172464
2030,FR,CoalPowerPlantCC,27.242427830431115
2020,UK,CoalPowerPlantCC,117.9889015215676
2020,FR,GasPowerPlantCC,121.98876788615934
2030,FR,GasPowerPlantCC,55.097942762039224
2040,FR,GasPowerPlantCC,40.843161853857886
2020,NO,GasPowerPlantCC,708.347842544048
2030,NO,GasPowerPlantCC,789.0891366058992
2040,NO,GasPowerPlantCC,276.912108724774
2020,UK,GasPowerPlantCC,14.704499024816592
2030,UK,GasPowerPlantCC,4.373115000000001
2020,FR,CoalCHPPlantCC,1447.647733136445
2030,FR,CoalCHPPlantCC,1272.2541961926343
2040,FR,CoalCHPPlantCC,621.0584660368445
2020,DK,CoalCHPPlantCC,166.19544000000002
2020,UK,CoalCHPPlantCC,3747.261537206677
2030,UK,CoalCHPPlantCC,3389.9957931648605
2040,UK,CoalCHPPlantCC,3081.6395422061646
2020,DE,GasCHPPlantCC,1821.989059444596
2030,DE,GasCHPPlantCC,781.6629420960193
2040,DE,GasCHPPlantCC,1229.4956605390614
2050,DE,GasCHPPlantCC,2592.5233792031604
2020,FR,GasCHPPlantCC,230.56813692127582
2030,FR,GasCHPPlantCC,345.2726745636871
2040,FR,GasCHPPlantCC,849.3657142130656
2050,FR,GasCHPPlantCC,445.54067281824985
2020,NO,GasCHPPlantCC,522.1371959784909
2030,NO,GasCHPPlantCC,570.2028246327334
2040,NO,GasCHPPlantCC,461.81934339209954
2050,NO,GasCHPPlantCC,143.95731024221598
2020,DK,GasCHPPlantCC,1095.3258305190204
2030,DK,GasCHPPlantCC,1140.4456606442714
2040,DK,GasCHPPlantCC,1190.7119070000006
2050,DK,GasCHPPlantCC,390.6025687840907
2020,UK,GasCHPPlantCC,50.08533440680935
2030,UK,GasCHPPlantCC,245.54890238306086
2040,UK,GasCHPPlantCC,1046.3489631746857
2050,UK,GasCHPPlantCC,712.7673340905174
