constraint,binding,count
DemandAdequacy,Binding,15372
DemandAdequacy,Non-binding,1428
ProductionCost,Binding,20
TotalCapacityFunction,Binding,207
TotalCapacityFunction,Non-binding,193
RetrofitResidualCapacityFunction,Binding,90
RetrofitResidualCapacityFunction,Non-binding,50
ResidualCapacityFunction,Non-binding,183
ResidualCapacityFunction,Binding,237
ProductionFunction_res,Binding,45916
ProductionFunction_res,Non-binding,4484
UseFunction,Non-binding,308443
UseFunction,Binding,27557
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,43
TotalStorageCapacityFunction,Non-binding,17
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79716
ImportExportBalance,Non-binding,4284
ProductionFuntion_disp,Binding,81977
ProductionFuntion_disp,Non-binding,203623
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,3
TotalSequesterLimitFunction,Non-binding,2
MaxCapacityFunction,Binding,80
MaxCapacityFunction,Non-binding,320
StorageChargeFunction,Non-binding,6597
StorageChargeFunction,Binding,603
StorageDischargeFunction,Non-binding,6306
StorageDischargeFunction,Binding,894
MaxStorageLevelFunction,Non-binding,7027
MaxStorageLevelFunction,Binding,173
StorageMaxCapacityConstraint,Non-binding,27
StorageMaxCapacityConstraint,Binding,33
MaxImportFunction,Non-binding,65724
MaxImportFunction,Binding,18276
TotalCost,Non-binding,20
Production,Non-binding,144158
Production,Binding,191842
NewCapacity,Non-binding,165
NewCapacity,Binding,235
ResidualCapacity,Non-binding,602
ResidualCapacity,Binding,98
TotalCapacity,Non-binding,371
TotalCapacity,Binding,29
Use,Binding,279883
Use,Non-binding,56117
Curtailment,Binding,15372
Curtailment,Non-binding,1428
TotalStorageEnergyCapacity,Non-binding,59
TotalStorageEnergyCapacity,Binding,1
NewStorageEnergyCapacity,Non-binding,55
NewStorageEnergyCapacity,Binding,5
StorageCharge,Binding,5841
StorageCharge,Non-binding,1359
StorageDischarge,Binding,4620
StorageDischarge,Non-binding,2580
StorageLevel,Non-binding,6914
StorageLevel,Binding,286
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,51761
Import,Binding,32239
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
