Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,708.7320802162247
2040,UK,Battery,48,Power,220.7811420266249
2040,DK,Battery,111,Power,37.35999534385877
2020,DE,H2Tank,55,H2,37.23156222035332
2040,DE,Battery,5,Power,-0.0
2050,DE,PHS,54,Power,398.7676655391733
2050,UK,PHS,46,Power,149.29353495683907
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,441.6879008574586
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,284.58409636990035
2020,DK,Battery,114,Power,9.749740684261642
2040,UK,Battery,23,Power,0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,29.6828491123882
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,2.41887814607717
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,320.88494955660326
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,18.61624949763158
2050,FR,Battery,93,Power,1071.4864024177
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,-0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,20.86298854554769
2030,NO,H2Tank,118,H2,18.8789511985
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,145.15414103046515
2030,FR,H2Tank,83,H2,44.29824561403509
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,23.892947319371487
2040,DK,Battery,105,Power,41.15067595718778
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,5.014206764703281
2030,DE,H2Tank,112,H2,11.040006507044295
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,3.39021275932938
2050,UK,H2Tank,7,H2,47.170595955349754
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,568.8943221334872
2030,DK,Battery,21,Power,-0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,5.015209756502483
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,24.1741236045814
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,453.46772634160186
2020,DE,Battery,40,Power,-0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,160.67447794856974
2050,DE,PHS,65,Power,492.9095698087454
2030,DK,Battery,15,Power,0.0
2040,DE,Battery,49,Power,0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,468.92701846973875
2040,UK,Battery,42,Power,197.78556428671138
2050,NO,H2Tank,93,H2,145.15414103046515
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,11.07602845280702
2020,DK,Battery,86,Power,30.088886221134146
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,37.494680960446885
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,10.6875
2020,DK,Battery,60,Power,41.70928920365068
2050,DK,Battery,45,Power,33.24757090532374
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,108.09743095503688
2040,UK,Battery,79,Power,113.36579679801858
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,13.157894736842104
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,1077.5805075518297
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,148.60197368421052
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,39.19526503899773
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,61.271382397906585
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,17.798070062859203
2020,DE,H2Tank,61,H2,31.268079432631577
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,146.11924715469257
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,5.002686766211856
2030,NO,H2Tank,61,H2,40.0
2040,FR,H2Tank,96,H2,8.548049965839253
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,220.736988006031
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,11.0625
2040,DK,Battery,106,Power,41.14656088959206
2030,FR,Battery,68,Power,62.851356217082454
2050,UK,Battery,47,Power,213.70267231888823
2040,DE,H2Tank,98,H2,0.0
2050,NO,PHS,92,Power,471.75045436706154
2050,FR,PHS,83,Power,623.5253347703132
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,-0.0
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
2050,FR,Battery,55,Power,704.0980199881786
2030,NO,H2Tank,60,H2,40.0
2020,FR,PHS,80,Power,-0.0
2040,NO,PHS,51,Power,-0.0
2020,FR,PHS,93,Power,-0.0
2040,NO,H2Tank,106,H2,31.096275114457043
2020,DK,H2Tank,88,H2,0.0
2050,FR,H2Tank,76,H2,80.83633402386907
2050,DK,PHS,49,Power,60.772030622591366
2040,FR,Battery,30,Power,8.011348480343948
2030,UK,PHS,5,Power,-0.0
2050,DK,H2Tank,41,H2,21.653149795614038
2030,FR,Battery,101,Power,138.4156798902212
2030,UK,Battery,8,Power,47.85899032395817
2030,NO,PHS,19,Power,-0.0
2030,DK,H2Tank,10,H2,0.0
2020,DE,Battery,70,Power,0.0
2030,FR,H2Tank,106,H2,44.7887023851755
2050,NO,PHS,31,Power,238.82290229436157
2040,FR,H2Tank,29,H2,21.95827909452447
2050,UK,PHS,56,Power,177.67265930318896
2040,UK,H2Tank,4,H2,22.125
2050,NO,PHS,80,Power,463.92815168428814
2050,DE,Battery,80,Power,569.2251152513259
2020,DK,Battery,101,Power,18.840384649658453
2050,NO,H2Tank,114,H2,61.22886767727081
2050,FR,Battery,3,Power,476.0173266625819
2020,NO,H2Tank,46,H2,0.20559964905375022
2040,DE,Battery,102,Power,77.35040703031373
2040,FR,H2Tank,16,H2,33.69401214212531
2040,DE,Battery,7,Power,-0.0
2050,NO,Battery,106,Power,13.051475344586818
2050,NO,PHS,4,Power,412.9614864445677
2040,UK,H2Tank,77,H2,21.375
2040,DE,Battery,78,Power,23.434996013550517
2030,NO,Battery,112,Power,-0.0
2040,FR,H2Tank,114,H2,16.57024923125485
2020,FR,H2Tank,105,H2,40.0
2020,NO,PHS,75,Power,-0.0
2050,FR,PHS,111,Power,504.5225827481454
2050,NO,Battery,12,Power,6.979321430736
2040,DE,Battery,72,Power,5.123524853210533
2040,NO,H2Tank,29,H2,36.20173634
2040,NO,H2Tank,73,H2,40.012466292145746
2020,UK,H2Tank,28,H2,0.0
2030,DE,PHS,77,Power,-0.0
2030,DK,PHS,21,Power,0.0
2030,NO,Battery,119,Power,-0.0
2030,DE,H2Tank,79,H2,69.1100154042
