Year,Region,Technology,value
2020,NO,GasPowerPlantCC,2620.3711252926755
2030,NO,GasPowerPlantCC,1918.3525580096243
2040,NO,GasPowerPlantCC,749.2425072632777
2020,NO,GasCHPPlantCC,556.2627534508847
2030,NO,GasCHPPlantCC,613.7123269646784
2040,NO,GasCHPPlantCC,484.63416660869956
2050,NO,GasCHPPlantCC,56.64562410177598
2030,DK,GasCHPPlantCC,26.562758295780526
2040,DK,GasCHPPlantCC,25.307388539533093
2050,DK,GasCHPPlantCC,4.4985316468660566
2040,UK,GasCHPPlantCC,721.3831016320675
2050,UK,GasCHPPlantCC,455.96898367932926
2030,DE,BECCS,68.38666414511117
2040,DE,BECCS,750.0933358548887
2020,FR,BECCS,330.1492485578742
2030,FR,BECCS,424.2352614807594
2040,FR,BECCS,279.4754899613664
2020,NO,BECCS,300.0
2030,NO,BECCS,300.0
2040,NO,BECCS,300.0
2050,NO,BECCS,600.0
2020,DK,BECCS,300.0
2030,DK,BECCS,300.0
2040,DK,BECCS,300.0
2050,DK,BECCS,600.0
2020,UK,BECCS,600.0
2030,UK,BECCS,600.0
2040,UK,BECCS,600.0
2050,UK,BECCS,600.0
