constraint,binding,count
DemandAdequacy,Binding,15295
DemandAdequacy,Non-binding,1505
ProductionCost,Binding,20
TotalCapacityFunction,Binding,206
TotalCapacityFunction,Non-binding,194
RetrofitResidualCapacityFunction,Binding,86
RetrofitResidualCapacityFunction,Non-binding,54
ResidualCapacityFunction,Non-binding,156
ResidualCapacityFunction,Binding,264
ProductionFunction_res,Binding,45481
ProductionFunction_res,Non-binding,4919
UseFunction,Non-binding,308706
UseFunction,Binding,27294
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,43
TotalStorageCapacityFunction,Non-binding,17
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79485
ImportExportBalance,Non-binding,4515
ProductionFuntion_disp,Binding,81487
ProductionFuntion_disp,Non-binding,204113
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,4
TotalSequesterLimitFunction,Non-binding,1
MaxCapacityFunction,Binding,83
MaxCapacityFunction,Non-binding,317
StorageChargeFunction,Non-binding,6583
StorageChargeFunction,Binding,617
StorageDischargeFunction,Binding,970
StorageDischargeFunction,Non-binding,6230
MaxStorageLevelFunction,Non-binding,7070
MaxStorageLevelFunction,Binding,130
StorageMaxCapacityConstraint,Non-binding,28
StorageMaxCapacityConstraint,Binding,32
MaxImportFunction,Non-binding,64805
MaxImportFunction,Binding,19195
TotalCost,Non-binding,20
Production,Non-binding,143591
Production,Binding,192409
NewCapacity,Non-binding,174
NewCapacity,Binding,226
ResidualCapacity,Non-binding,604
ResidualCapacity,Binding,96
TotalCapacity,Non-binding,368
TotalCapacity,Binding,32
Use,Binding,278606
Use,Non-binding,57394
Curtailment,Binding,15295
Curtailment,Non-binding,1505
TotalStorageEnergyCapacity,Binding,1
TotalStorageEnergyCapacity,Non-binding,59
NewStorageEnergyCapacity,Non-binding,56
NewStorageEnergyCapacity,Binding,4
StorageCharge,Binding,5932
StorageCharge,Non-binding,1268
StorageDischarge,Non-binding,2497
StorageDischarge,Binding,4703
StorageLevel,Non-binding,6984
StorageLevel,Binding,216
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,52047
Import,Binding,31953
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
