Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,714.1028545074797
2040,UK,Battery,48,Power,85.8163248794221
2040,DK,Battery,111,Power,113.40674933980382
2020,DE,H2Tank,55,H2,42.911754305400855
2040,DE,Battery,5,Power,76.83452680158906
2050,DE,PHS,54,Power,398.7676655391733
2050,UK,PHS,46,Power,148.79238978729845
2030,FR,H2Tank,75,H2,10.656468319534346
2050,DE,PHS,59,Power,441.6879008574586
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,290.80417065607605
2020,DK,Battery,114,Power,12.115895093858507
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,29.6828491123882
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,2.4188781460771813
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,329.98904468511796
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,16.281731360492888
2050,FR,Battery,93,Power,1107.2445726368028
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,15.34326076678158
2030,NO,H2Tank,118,H2,5.5548736494999975
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,145.4652169167763
2030,FR,H2Tank,83,H2,41.34703069940057
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,31.82370751075
2040,DK,Battery,105,Power,117.24307397960824
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,4.897547045559256
2030,DE,H2Tank,112,H2,0.0
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,31.615345177146718
2050,UK,H2Tank,7,H2,65.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,568.8943221334872
2030,DK,Battery,21,Power,1.612680661857417
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,4.898526701914372
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,429.2461129067985
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,23.326989812328904
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,457.2939592348528
2020,DE,Battery,40,Power,0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,165.734649122807
2050,DE,PHS,65,Power,492.9095698087454
2030,DK,Battery,15,Power,10.215224088771148
2040,DE,Battery,49,Power,0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,454.02383107001253
2040,UK,Battery,42,Power,85.86783270058477
2050,NO,H2Tank,93,H2,133.97768305651832
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,17.610606386303314
2020,DK,Battery,86,Power,12.149868839884046
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,28.67468042158804
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,11.4375
2020,DK,Battery,60,Power,30.67424876601828
2050,DK,Battery,45,Power,24.798165790598674
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,100.1572009565671
2040,UK,Battery,79,Power,110.99170498808067
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,19.723621519085714
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,1028.4740691989668
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,114.33662280701753
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,58.33256359839738
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,85.19360005232218
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,16.240592479359172
2020,DE,H2Tank,61,H2,31.268079432631577
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,122.5854539936251
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,4.886295069479276
2030,NO,H2Tank,61,H2,-0.0
2040,FR,H2Tank,96,H2,0.0
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,85.79916247260945
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,7.5
2040,DK,Battery,106,Power,117.2313496722103
2030,FR,Battery,68,Power,62.85135621708244
2050,UK,Battery,47,Power,270.8486435014578
2040,DE,H2Tank,98,H2,0.0
2050,NO,PHS,92,Power,456.7575340395412
2050,FR,PHS,83,Power,623.5253347703132
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,-0.0
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
2050,FR,Battery,55,Power,647.4358444583135
2030,NO,H2Tank,60,H2,2.61759351335
2020,FR,PHS,80,Power,-0.0
2040,NO,PHS,51,Power,-0.0
2020,FR,PHS,93,Power,-0.0
2040,NO,H2Tank,106,H2,31.82370751075
2020,DK,H2Tank,88,H2,0.0
2050,FR,H2Tank,76,H2,55.68171042820754
2050,DK,PHS,49,Power,59.272030622591366
2040,FR,Battery,30,Power,6.689363537100013
2030,UK,PHS,5,Power,-0.0
2050,DK,H2Tank,41,H2,21.653149795614038
2030,FR,Battery,101,Power,131.70499095128963
2030,UK,Battery,8,Power,33.43968050663108
2030,NO,PHS,19,Power,-0.0
2030,DK,H2Tank,10,H2,0.0
2020,DE,Battery,70,Power,-0.0
2030,FR,H2Tank,106,H2,41.31578947368421
2050,NO,PHS,31,Power,238.13445209188325
2040,FR,H2Tank,29,H2,19.53752688000118
2050,UK,PHS,56,Power,177.17650309384345
2040,UK,H2Tank,4,H2,15.0
2050,NO,PHS,80,Power,449.10632721358724
2050,DE,Battery,80,Power,581.6665079629483
2020,DK,Battery,101,Power,12.131656788459983
2050,NO,H2Tank,114,H2,73.12190829317667
2050,FR,Battery,3,Power,472.00879744568687
2020,NO,H2Tank,46,H2,0.26596760441999945
2040,DE,Battery,102,Power,112.77829780530942
2040,FR,H2Tank,16,H2,43.0258623966703
2040,DE,Battery,7,Power,76.81916066457401
2050,NO,Battery,106,Power,-0.0
2050,NO,PHS,4,Power,402.20437088780574
2040,UK,H2Tank,77,H2,21.375
2040,DE,Battery,78,Power,126.56957595059164
2030,NO,Battery,112,Power,-0.0
2040,FR,H2Tank,114,H2,50.0
2020,FR,H2Tank,105,H2,40.0
2020,NO,PHS,75,Power,-0.0
2050,FR,PHS,111,Power,504.5225827481454
2050,NO,Battery,12,Power,-0.0
2040,DE,Battery,72,Power,68.49547358500004
2040,NO,H2Tank,29,H2,0.2775663345499997
2040,NO,H2Tank,73,H2,12.680560523225001
2020,UK,H2Tank,28,H2,-0.0
2030,DE,PHS,77,Power,-0.0
2030,DK,PHS,21,Power,0.0
2030,NO,Battery,119,Power,-0.0
2030,DE,H2Tank,79,H2,69.1100154042
2040,NO,H2Tank,21,H2,-0.0
2040,UK,Battery,97,Power,192.42430572659424
2050,DE,H2Tank,72,H2,0.0
2050,DK,H2Tank,55,H2,40.0
2040,FR,H2Tank,52,H2,40.68532815947203
2050,NO,PHS,72,Power,402.4066859215125
2020,UK,H2Tank,112,H2,0.951716354459478
2020,DK,Battery,20,Power,-0.0
2050,UK,PHS,25,Power,98.18782721370974
2040,DK,PHS,29,Power,0.0
2040,DK,Battery,63,Power,133.00021693932365
2040,NO,Battery,42,Power,0.0
2030,DK,Battery,33,Power,26.372291552937686
2020,DE,PHS,103,Power,-0.0
2030,DE,PHS,53,Power,-0.0
2030,NO,Battery,11,Power,-0.0
2030,NO,PHS,25,Power,-0.0
2030,UK,H2Tank,95,H2,-0.0
2020,FR,H2Tank,86,H2,33.5347479477193
2040,DK,PHS,7,Power,0.0
2030,UK,Battery,6,Power,33.446369446056586
2030,DK,Battery,70,Power,45.58155455414052
2040,UK,PHS,101,Power,-0.0
2030,UK,PHS,6,Power,-0.0
2030,UK,H2Tank,88,H2,4.400429274693868
2030,UK,Battery,98,Power,113.98489616847155
2050,DE,H2Tank,93,H2,175.0
2040,UK,PHS,4,Power,-0.0
2030,FR,H2Tank,49,H2,0.0
2050,NO,Battery,13,Power,-0.0
2030,UK,H2Tank,26,H2,0.0
2050,UK,H2Tank,58,H2,130.0
2040,NO,Battery,24,Power,-0.0
2030,DE,H2Tank,9,H2,2.4188781460771813
2050,DK,PHS,77,Power,99.0725090597103
2020,DE,PHS,118,Power,-0.0
2040,NO,H2Tank,42,H2,0.2775663345499997
2020,DE,H2Tank,18,H2,-0.0
2050,NO,Battery,71,Power,-0.0
2030,UK,Battery,57,Power,94.6265059937737
2020,DE,PHS,113,Power,-0.0
2050,DK,H2Tank,103,H2,40.0
2050,UK,H2Tank,71,H2,17.81441516578944
2050,DE,PHS,67,Power,509.9152435786977
2020,NO,H2Tank,28,H2,0.26596760441999945
2050,DE,PHS,101,Power,611.5148024092714
2020,UK,H2Tank,99,H2,7.629648627880733
2050,DK,PHS,119,Power,100.10010010010011
2050,FR,PHS,92,Power,553.5189677460602
2050,DE,PHS,52,Power,381.5393627252611
2050,UK,H2Tank,72,H2,13.706140350877194
2040,UK,H2Tank,91,H2,7.894736842105263
2020,UK,Battery,64,Power,0.0
2030,DK,PHS,41,Power,0.0
2050,FR,PHS,62,Power,485.17789534242837
2040,DK,H2Tank,93,H2,12.258771929824562
2050,DK,PHS,114,Power,100.60210561262528
