Year,Region,Technology,value
2020,FR,CoalPowerPlant,280.33483422639154
2030,FR,CoalPowerPlant,59.172069744400694
2020,UK,CoalPowerPlant,553.9548697778794
2020,FR,GasPowerPlant,139.77708620446882
2030,FR,GasPowerPlant,42.72533662737569
2040,FR,GasPowerPlant,22.600083697661287
2020,NO,GasPowerPlant,122.62801280878078
2030,NO,GasPowerPlant,583.5053170312844
2040,NO,GasPowerPlant,4.134485410578559
2020,UK,GasPowerPlant,17.797885539177717
2030,UK,GasPowerPlant,5.649089538253357
2020,FR,CoalCHPPlant,1301.1687732890985
2030,FR,CoalCHPPlant,718.3967213832865
2040,FR,CoalCHPPlant,324.3313962927323
2020,DK,CoalCHPPlant,184.66160000000002
2020,UK,CoalCHPPlant,2537.108568326331
2030,UK,CoalCHPPlant,1668.689902350372
2040,UK,CoalCHPPlant,1061.418399392638
2020,DE,GasCHPPlant,7239.823681116865
2030,DE,GasCHPPlant,6264.514863875717
2040,DE,GasCHPPlant,1581.5351145563147
2050,DE,GasCHPPlant,15.070787808595462
2020,FR,GasCHPPlant,211.00792939294604
2030,FR,GasCHPPlant,106.94839845975147
2040,FR,GasCHPPlant,63.09090899592151
2020,NO,GasCHPPlant,105.10164545273634
2030,NO,GasCHPPlant,73.11858747712064
2040,NO,GasCHPPlant,14.511191484103147
2020,DK,GasCHPPlant,535.2995748905271
2030,DK,GasCHPPlant,311.92340000000036
2040,DK,GasCHPPlant,130.82927999999995
2020,UK,GasCHPPlant,101.1931443533362
2030,UK,GasCHPPlant,166.21204239144834
2040,UK,GasCHPPlant,80.56112806788107
2020,NO,GasPowerPlantCC,74.08605497875138
2030,NO,GasPowerPlantCC,62.83569742733943
2040,NO,GasPowerPlantCC,26.30545412830598
2020,FR,CoalCHPPlantCC,224.50803217677418
2030,FR,CoalCHPPlantCC,144.6867274889985
2040,FR,CoalCHPPlantCC,60.02863470278889
2020,UK,CoalCHPPlantCC,609.4672869202409
2030,UK,CoalCHPPlantCC,387.775773226994
2040,UK,CoalCHPPlantCC,286.4686746322972
2030,DE,GasCHPPlantCC,76.8292175413673
2040,DE,GasCHPPlantCC,349.7985378428251
2050,DE,GasCHPPlantCC,280.8335572691966
2020,FR,GasCHPPlantCC,7.8223090996800115
2030,FR,GasCHPPlantCC,36.99967841103877
2040,FR,GasCHPPlantCC,95.48077956763031
2050,FR,GasCHPPlantCC,48.40505219755591
2020,NO,GasCHPPlantCC,53.74429167686439
2030,NO,GasCHPPlantCC,61.82201750680001
2040,NO,GasCHPPlantCC,54.20600247945622
2050,NO,GasCHPPlantCC,16.069344693579552
2020,DK,GasCHPPlantCC,68.44903583261639
2030,DK,GasCHPPlantCC,95.89677869277284
2040,DK,GasCHPPlantCC,119.2183950000001
2050,DK,GasCHPPlantCC,44.62977800440445
2020,UK,GasCHPPlantCC,1.3587997499999886
2030,UK,GasCHPPlantCC,35.7437784642143
2040,UK,GasCHPPlantCC,130.13117353691513
2050,UK,GasCHPPlantCC,84.878468026668
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,1586.7936899999988
2020,FR,LPGCar,795.5019209718649
2030,FR,LPGCar,1008.8243096712389
2040,FR,LPGCar,1047.4288472669946
2050,FR,LPGCar,10.113012000000014
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,218.18413237499996
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,238.01905349999979
2020,UK,LPGCar,561.8449297496285
2030,UK,LPGCar,821.4129789780003
2040,UK,LPGCar,673.2835117471798
