region,fuel,hour,value
DE,Power,1,0.00592
DE,Power,2,0.00748
DE,Power,3,0.01019
DE,Power,4,0.00984
DE,Power,5,0.01023
DE,Power,6,0.00943
DE,Power,7,0.01087
DE,Power,8,0.01064
DE,Power,9,0.01138
DE,Power,10,0.01104
DE,Power,11,0.01001
DE,Power,12,0.01037
DE,Power,13,0.00952
DE,Power,14,0.01003
DE,Power,15,0.0091
DE,Power,16,0.00897
DE,Power,17,0.00831
DE,Power,18,0.0073
DE,Power,19,0.007
DE,Power,20,0.00596
DE,Power,21,0.00616
DE,Power,22,0.00586
DE,Power,23,0.00727
DE,Power,24,0.00849
DE,Power,25,0.00987
DE,Power,26,0.01053
DE,Power,27,0.00948
DE,Power,28,0.00978
DE,Power,29,0.00862
DE,Power,30,0.0097
DE,Power,31,0.00965
DE,Power,32,0.01049
DE,Power,33,0.01037
DE,Power,34,0.00895
DE,Power,35,0.00888
DE,Power,36,0.00789
DE,Power,37,0.00866
DE,Power,38,0.00788
DE,Power,39,0.00782
DE,Power,40,0.00689
DE,Power,41,0.00604
DE,Power,42,0.00551
DE,Power,43,0.00498
DE,Power,44,0.00521
DE,Power,45,0.00519
DE,Power,46,0.0061
DE,Power,47,0.00727
DE,Power,48,0.009
DE,Power,49,0.0091
DE,Power,50,0.00775
DE,Power,51,0.00786
DE,Power,52,0.00806
DE,Power,53,0.00978
DE,Power,54,0.00948
DE,Power,55,0.01035
DE,Power,56,0.01039
DE,Power,57,0.00903
DE,Power,58,0.00846
DE,Power,59,0.00708
DE,Power,60,0.00798
DE,Power,61,0.00752
DE,Power,62,0.00799
DE,Power,63,0.00729
DE,Power,64,0.00642
DE,Power,65,0.00575
DE,Power,66,0.00507
DE,Power,67,0.0052
DE,Power,68,0.00507
DE,Power,69,0.00556
DE,Power,70,0.00633
DE,Power,71,0.00747
DE,Power,72,0.00879
DE,Power,73,0.00809
DE,Power,74,0.00864
DE,Power,75,0.00812
DE,Power,76,0.00972
DE,Power,77,0.00969
DE,Power,78,0.01053
DE,Power,79,0.01034
DE,Power,80,0.00901
DE,Power,81,0.00879
DE,Power,82,0.00791
DE,Power,83,0.00914
DE,Power,84,0.00897
DE,Power,85,0.00958
DE,Power,86,0.00894
DE,Power,87,0.00776
DE,Power,88,0.00681
DE,Power,89,0.00572
DE,Power,90,0.00572
DE,Power,91,0.0054
DE,Power,92,0.0058
DE,Power,93,0.00616
DE,Power,94,0.00729
DE,Power,95,0.0089
DE,Power,96,0.00847
DE,Power,97,0.00939
DE,Power,98,0.0087
DE,Power,99,0.01074
DE,Power,100,0.00993
DE,Power,101,0.01106
DE,Power,102,0.01111
DE,Power,103,0.01055
DE,Power,104,0.01021
DE,Power,105,0.0091
DE,Power,106,0.01071
DE,Power,107,0.01083
DE,Power,108,0.01191
DE,Power,109,0.01156
DE,Power,110,0.01033
DE,Power,111,0.00968
DE,Power,112,0.00826
DE,Power,113,0.00806
DE,Power,114,0.00719
DE,Power,115,0.00723
DE,Power,116,0.00686
DE,Power,117,0.00625
DE,Power,118,0.0054
DE,Power,119,0.00486
DE,Power,120,0.00466
DE,Mobility,1,0.01015
DE,Mobility,2,0.00934
DE,Mobility,3,0.00894
DE,Mobility,4,0.00855
DE,Mobility,5,0.00974
DE,Mobility,6,0.01096
DE,Mobility,7,0.0143
DE,Mobility,8,0.01819
DE,Mobility,9,0.02041
DE,Mobility,10,0.01907
DE,Mobility,11,0.01387
DE,Mobility,12,0.00934
DE,Mobility,13,0.00586
DE,Mobility,14,0.00371
DE,Mobility,15,0.00239
DE,Mobility,16,0.00123
DE,Mobility,17,0.00102
DE,Mobility,18,0.00102
DE,Mobility,19,0.00123
DE,Mobility,20,0.00178
DE,Mobility,21,0.00239
DE,Mobility,22,0.00441
DE,Mobility,23,0.00894
DE,Mobility,24,0.01137
DE,Mobility,25,0.0122
DE,Mobility,26,0.00934
DE,Mobility,27,0.00894
DE,Mobility,28,0.00855
DE,Mobility,29,0.00974
DE,Mobility,30,0.01096
DE,Mobility,31,0.0143
DE,Mobility,32,0.01819
DE,Mobility,33,0.02041
DE,Mobility,34,0.01907
DE,Mobility,35,0.01387
DE,Mobility,36,0.00934
DE,Mobility,37,0.00586
DE,Mobility,38,0.00371
DE,Mobility,39,0.00239
DE,Mobility,40,0.00123
DE,Mobility,41,0.00102
DE,Mobility,42,0.00102
DE,Mobility,43,0.00123
DE,Mobility,44,0.00178
DE,Mobility,45,0.00239
DE,Mobility,46,0.00441
DE,Mobility,47,0.00894
DE,Mobility,48,0.01137
DE,Mobility,49,0.0122
DE,Mobility,50,0.00934
DE,Mobility,51,0.00894
DE,Mobility,52,0.00855
DE,Mobility,53,0.00974
DE,Mobility,54,0.01096
DE,Mobility,55,0.0143
DE,Mobility,56,0.01819
DE,Mobility,57,0.02041
DE,Mobility,58,0.01907
DE,Mobility,59,0.01387
DE,Mobility,60,0.00934
DE,Mobility,61,0.00586
DE,Mobility,62,0.00371
DE,Mobility,63,0.00239
DE,Mobility,64,0.00123
DE,Mobility,65,0.00102
DE,Mobility,66,0.00102
DE,Mobility,67,0.00123
DE,Mobility,68,0.00178
DE,Mobility,69,0.00239
DE,Mobility,70,0.00441
DE,Mobility,71,0.00894
DE,Mobility,72,0.01137
DE,Mobility,73,0.0122
DE,Mobility,74,0.00934
DE,Mobility,75,0.00894
DE,Mobility,76,0.00855
DE,Mobility,77,0.00974
DE,Mobility,78,0.01096
DE,Mobility,79,0.0143
DE,Mobility,80,0.01819
DE,Mobility,81,0.02041
DE,Mobility,82,0.01907
DE,Mobility,83,0.01387
DE,Mobility,84,0.00934
DE,Mobility,85,0.00586
DE,Mobility,86,0.00371
DE,Mobility,87,0.00239
DE,Mobility,88,0.00123
DE,Mobility,89,0.00102
DE,Mobility,90,0.00102
DE,Mobility,91,0.00123
DE,Mobility,92,0.00178
DE,Mobility,93,0.00239
DE,Mobility,94,0.00441
DE,Mobility,95,0.00894
DE,Mobility,96,0.01137
DE,Mobility,97,0.0122
DE,Mobility,98,0.00934
DE,Mobility,99,0.00894
DE,Mobility,100,0.00855
DE,Mobility,101,0.00974
DE,Mobility,102,0.01096
DE,Mobility,103,0.0143
DE,Mobility,104,0.01819
DE,Mobility,105,0.02041
DE,Mobility,106,0.01907
DE,Mobility,107,0.01387
