constraint,binding,count
DemandAdequacy,Binding,14798
DemandAdequacy,Non-binding,2002
ProductionCost,Binding,20
TotalCapacityFunction,Binding,199
TotalCapacityFunction,Non-binding,201
RetrofitResidualCapacityFunction,Binding,80
RetrofitResidualCapacityFunction,Non-binding,60
ResidualCapacityFunction,Non-binding,147
ResidualCapacityFunction,Binding,273
ProductionFunction_res,Binding,44208
ProductionFunction_res,Non-binding,6192
UseFunction,Non-binding,310890
UseFunction,Binding,25110
AnnualTechnologyEmissions,Non-binding,400
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,45
TotalStorageCapacityFunction,Non-binding,15
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,77994
ImportExportBalance,Non-binding,6006
ProductionFuntion_disp,Binding,78207
ProductionFuntion_disp,Non-binding,207393
AnnualEmissionsLimitFunction,Non-binding,4
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,4
TotalSequesterLimitFunction,Non-binding,1
MaxCapacityFunction,Binding,92
MaxCapacityFunction,Non-binding,308
StorageChargeFunction,Non-binding,6763
StorageChargeFunction,Binding,437
StorageDischargeFunction,Non-binding,6129
StorageDischargeFunction,Binding,1071
MaxStorageLevelFunction,Non-binding,7072
MaxStorageLevelFunction,Binding,128
StorageMaxCapacityConstraint,Binding,37
StorageMaxCapacityConstraint,Non-binding,23
MaxImportFunction,Non-binding,60448
MaxImportFunction,Binding,23552
TotalCost,Non-binding,20
Production,Non-binding,138147
Production,Binding,197853
NewCapacity,Non-binding,183
NewCapacity,Binding,217
ResidualCapacity,Non-binding,599
ResidualCapacity,Binding,101
TotalCapacity,Non-binding,377
TotalCapacity,Binding,23
Use,Binding,270850
Use,Non-binding,65150
Curtailment,Binding,14798
Curtailment,Non-binding,2002
TotalStorageEnergyCapacity,Non-binding,60
NewStorageEnergyCapacity,Non-binding,51
NewStorageEnergyCapacity,Binding,9
StorageCharge,Binding,6107
StorageCharge,Non-binding,1093
StorageDischarge,Binding,4664
StorageDischarge,Non-binding,2536
StorageLevel,Non-binding,6998
StorageLevel,Binding,202
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,48583
Import,Binding,35417
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
