Year,Region,Technology,value
2020,NO,GasPowerPlantCC,4241.815246365106
2030,NO,GasPowerPlantCC,4786.111104926888
2040,NO,GasPowerPlantCC,8098.222538978657
2050,NO,GasPowerPlantCC,1420.8911988558582
2020,DK,GasPowerPlantCC,68.10826120901994
2030,DK,GasPowerPlantCC,28.329409851506735
2040,DK,GasPowerPlantCC,3.732992509558544
2020,FR,CoalCHPPlantCC,1614.6274308655168
2030,FR,CoalCHPPlantCC,155.50804311776176
2020,DK,CoalCHPPlantCC,193.35330159297317
2020,UK,CoalCHPPlantCC,5698.840112118646
2030,UK,CoalCHPPlantCC,2536.3498569530952
2020,DE,GasCHPPlantCC,1542.2466782405227
2030,DE,GasCHPPlantCC,1279.51007329965
2040,DE,GasCHPPlantCC,324.1684225086746
2050,DE,GasCHPPlantCC,9.376762500000005
2020,FR,GasCHPPlantCC,380.19102576163925
2030,FR,GasCHPPlantCC,892.2653844401271
2040,FR,GasCHPPlantCC,379.35458783004765
2020,NO,GasCHPPlantCC,590.1951592837349
2030,NO,GasCHPPlantCC,619.0758481505998
2040,NO,GasCHPPlantCC,717.575234607652
2050,NO,GasCHPPlantCC,230.81807902854223
2020,DK,GasCHPPlantCC,1309.7864214063236
2030,DK,GasCHPPlantCC,1239.1017740765203
2040,DK,GasCHPPlantCC,1211.4313628240932
2050,DK,GasCHPPlantCC,477.5647653
2020,UK,GasCHPPlantCC,126.37022253920799
2030,UK,GasCHPPlantCC,1113.7582649006793
2040,UK,GasCHPPlantCC,1966.431107050372
2020,DE,BECCS,297.644192275929
2030,DE,BECCS,249.58758067896642
2040,DE,BECCS,365.8053767462567
2050,DE,BECCS,325.0
2020,FR,BECCS,478.3535279849025
2030,FR,BECCS,600.0
2040,FR,BECCS,600.0
2050,FR,BECCS,690.0
2020,NO,BECCS,300.0
2030,NO,BECCS,300.0
2040,NO,BECCS,300.0
2050,NO,BECCS,600.0
2020,DK,BECCS,300.0
2030,DK,BECCS,300.0
2040,DK,BECCS,300.0
2050,DK,BECCS,600.0
2020,UK,BECCS,433.1504364380144
2030,UK,BECCS,600.0
2040,UK,BECCS,600.0
2050,UK,BECCS,600.0
