Year,Region,Technology,value
2020,FR,CoalPowerPlant,2.25503631234788
2030,FR,CoalPowerPlant,0.41000660224506924
2020,FR,GasPowerPlant,105.17944634274221
2030,FR,GasPowerPlant,35.19279173247733
2040,FR,GasPowerPlant,26.164999999999985
2020,UK,GasPowerPlant,0.24199999999999955
2030,UK,GasPowerPlant,0.08302642327999976
2020,FR,CoalCHPPlant,600.2823358558185
2030,FR,CoalCHPPlant,472.16990907655304
2040,FR,CoalCHPPlant,160.20000774010435
2020,UK,CoalCHPPlant,1031.757763586382
2030,UK,CoalCHPPlant,824.2527395399002
2040,UK,CoalCHPPlant,387.3663005676368
2020,DE,GasCHPPlant,7440.151695417641
2030,DE,GasCHPPlant,5512.198960159253
2040,DE,GasCHPPlant,1059.661846792905
2050,DE,GasCHPPlant,18.70196835952649
2020,FR,GasCHPPlant,149.30150435798916
2030,FR,GasCHPPlant,104.1696128444673
2040,FR,GasCHPPlant,63.27721111064792
2020,UK,GasCHPPlant,122.04399999999998
2030,UK,GasCHPPlant,122.35995580980007
2040,UK,GasCHPPlant,55.44141103067511
2020,NO,GasPowerPlantCC,230.54747931162106
2030,NO,GasPowerPlantCC,171.2278732316512
2040,NO,GasPowerPlantCC,133.17968072833972
2020,FR,CoalCHPPlantCC,211.51186698512976
2030,FR,CoalCHPPlantCC,148.8564099485004
2040,FR,CoalCHPPlantCC,54.17382512551569
2020,DK,CoalCHPPlantCC,18.466160000000002
2020,UK,CoalCHPPlantCC,554.7601932990933
2030,UK,CoalCHPPlantCC,461.66647700903
2040,UK,CoalCHPPlantCC,238.42285547864995
2020,DE,GasCHPPlantCC,22.96377576908412
2030,DE,GasCHPPlantCC,119.25238405594413
2040,DE,GasCHPPlantCC,290.96159832070936
2050,DE,GasCHPPlantCC,215.33352965374183
2020,FR,GasCHPPlantCC,10.817561722924525
2030,FR,GasCHPPlantCC,34.53602797852751
2040,FR,GasCHPPlantCC,103.81174101119556
2050,FR,GasCHPPlantCC,47.95345800000001
2020,NO,GasCHPPlantCC,62.195777316428305
2030,NO,GasCHPPlantCC,65.50188957620001
2040,NO,GasCHPPlantCC,69.86112314876702
2050,NO,GasCHPPlantCC,32.834366395304556
2020,DK,GasCHPPlantCC,125.70442927064374
2030,DK,GasCHPPlantCC,127.45465543853054
2040,DK,GasCHPPlantCC,188.2174159744683
2050,DK,GasCHPPlantCC,94.71517136542843
2020,UK,GasCHPPlantCC,7.687384375598132
2030,UK,GasCHPPlantCC,44.193426683703926
2040,UK,GasCHPPlantCC,144.66814706465178
2050,UK,GasCHPPlantCC,80.34849422599859
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,1586.7936899999988
2020,FR,LPGCar,797.7903562763765
2030,FR,LPGCar,1025.9872844159015
2040,FR,LPGCar,1006.4457796598857
2050,FR,LPGCar,10.113012000000014
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,218.18413237499996
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,238.01905349999979
2020,UK,LPGCar,559.5322898133895
2030,UK,LPGCar,804.2027682787511
2040,UK,LPGCar,529.6987459066262
2030,FR,BECCS,-52.77499285387182
