Year,Region,Hour,Fuel,value
2020,DE,1,Power,21.312
2030,DE,1,Power,23.4432
2040,DE,1,Power,25.78752
2050,DE,1,Power,28.366272000000002
2020,FR,1,Power,44.25
2030,FR,1,Power,48.675000000000004
2040,FR,1,Power,53.542500000000004
2050,FR,1,Power,58.896750000000004
2020,NO,1,Power,13.958
2030,NO,1,Power,15.3538
2040,NO,1,Power,16.88918
2050,NO,1,Power,18.578098
2020,DK,1,Power,7.4639999999999995
2030,DK,1,Power,8.2104
2040,DK,1,Power,9.03144
2050,DK,1,Power,9.934584
2020,UK,1,Power,18.792
2030,UK,1,Power,20.6712
2040,UK,1,Power,22.73832
2050,UK,1,Power,25.012152
2020,DE,1,Heat,87.552
2030,DE,1,Heat,91.92960000000001
2040,DE,1,Heat,96.52608000000001
2050,DE,1,Heat,101.352384
2020,FR,1,Heat,20.544
2030,FR,1,Heat,21.5712
2040,FR,1,Heat,22.64976
2050,FR,1,Heat,23.782248000000003
2020,NO,1,Heat,6.283999999999999
2030,NO,1,Heat,6.598199999999999
2040,NO,1,Heat,6.928109999999999
2050,NO,1,Heat,7.2745155
2020,DK,1,Heat,19.535999999999998
2030,DK,1,Heat,20.5128
2040,DK,1,Heat,21.538439999999998
2050,DK,1,Heat,22.615362
2020,UK,1,Heat,52.916999999999994
2030,UK,1,Heat,55.56285
2040,UK,1,Heat,58.34099249999999
2050,UK,1,Heat,61.25804212499999
2020,DE,1,Coal,0.0
2030,DE,1,Coal,0.0
2040,DE,1,Coal,0.0
2050,DE,1,Coal,0.0
2020,FR,1,Coal,0.0
2030,FR,1,Coal,0.0
2040,FR,1,Coal,0.0
2050,FR,1,Coal,0.0
2020,NO,1,Coal,0.0
2030,NO,1,Coal,0.0
2040,NO,1,Coal,0.0
2050,NO,1,Coal,0.0
2020,DK,1,Coal,0.0
2030,DK,1,Coal,0.0
2040,DK,1,Coal,0.0
2050,DK,1,Coal,0.0
2020,UK,1,Coal,0.0
2030,UK,1,Coal,0.0
2040,UK,1,Coal,0.0
2050,UK,1,Coal,0.0
2020,DE,1,Gas,0.0
