constraint,binding,count
DemandAdequacy,Binding,15383
DemandAdequacy,Non-binding,1417
ProductionCost,Binding,20
TotalCapacityFunction,Binding,214
TotalCapacityFunction,Non-binding,186
RetrofitResidualCapacityFunction,Binding,86
RetrofitResidualCapacityFunction,Non-binding,54
ResidualCapacityFunction,Non-binding,144
ResidualCapacityFunction,Binding,276
ProductionFunction_res,Binding,45959
ProductionFunction_res,Non-binding,4441
UseFunction,Non-binding,308388
UseFunction,Binding,27612
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,41
TotalStorageCapacityFunction,Non-binding,19
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79749
ImportExportBalance,Non-binding,4251
ProductionFuntion_disp,Binding,83396
ProductionFuntion_disp,Non-binding,202204
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,3
TotalSequesterLimitFunction,Non-binding,2
MaxCapacityFunction,Binding,82
MaxCapacityFunction,Non-binding,318
StorageChargeFunction,Non-binding,6632
StorageChargeFunction,Binding,568
StorageDischargeFunction,Non-binding,6240
StorageDischargeFunction,Binding,960
MaxStorageLevelFunction,Non-binding,7044
MaxStorageLevelFunction,Binding,156
StorageMaxCapacityConstraint,Non-binding,27
StorageMaxCapacityConstraint,Binding,33
MaxImportFunction,Non-binding,65529
MaxImportFunction,Binding,18471
TotalCost,Non-binding,20
Production,Non-binding,145475
Production,Binding,190525
NewCapacity,Non-binding,173
NewCapacity,Binding,227
ResidualCapacity,Non-binding,597
ResidualCapacity,Binding,103
TotalCapacity,Non-binding,370
TotalCapacity,Binding,30
Use,Binding,280048
Use,Non-binding,55952
Curtailment,Binding,15383
Curtailment,Non-binding,1417
TotalStorageEnergyCapacity,Non-binding,60
NewStorageEnergyCapacity,Non-binding,55
NewStorageEnergyCapacity,Binding,5
StorageCharge,Binding,5879
StorageCharge,Non-binding,1321
StorageDischarge,Binding,4563
StorageDischarge,Non-binding,2637
StorageLevel,Non-binding,6902
StorageLevel,Binding,298
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,51584
Import,Binding,32416
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
