Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,770.7226755947676
2040,UK,Battery,48,Power,207.99438058547207
2040,DK,Battery,111,Power,37.35999534385877
2020,DE,H2Tank,55,H2,37.23156222035332
2040,DE,Battery,5,Power,64.08730027904045
2050,DE,PHS,54,Power,385.26637064183444
2050,UK,PHS,46,Power,149.46895207279007
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,428.25397755660276
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,325.6341772131172
2020,DK,Battery,114,Power,9.74974068426167
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,29.682849112388205
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,2.089193935550856
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,337.29654055511867
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,18.61624949763158
2050,FR,Battery,93,Power,1082.6688896913129
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,20.86298854554769
2030,NO,H2Tank,118,H2,18.8789511985
2040,NO,Battery,103,Power,0.0
2050,NO,H2Tank,87,H2,140.05581069426117
2030,FR,H2Tank,83,H2,44.29824561403509
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,23.892947319371487
2040,DK,Battery,105,Power,41.15067595718778
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,5.014206764703281
2030,DE,H2Tank,112,H2,9.582166625927766
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,3.3902127593293794
2050,UK,H2Tank,7,H2,52.01717674963362
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,532.4280618158701
2030,DK,Battery,21,Power,-0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,5.015209756502483
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,24.17412360458139
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,414.65217838343165
2020,DE,Battery,40,Power,0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,165.734649122807
2050,DE,PHS,65,Power,479.55604880732193
2030,DK,Battery,15,Power,0.0
2040,DE,Battery,49,Power,0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,435.56000861461985
2040,UK,Battery,42,Power,186.1198594764123
2050,NO,H2Tank,93,H2,114.39576670588676
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,11.411785857894587
2020,DK,Battery,86,Power,30.088886221134167
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,37.494680960446885
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,10.6875
2020,DK,Battery,60,Power,41.70928920365068
2050,DK,Battery,45,Power,35.636575389662845
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,103.91789788095835
2040,UK,Battery,79,Power,113.36579679801858
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,13.157894736842104
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,1042.5757115507565
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,123.43502391900469
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,43.39801736359114
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,61.271382397906585
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,17.798070062859203
2020,DE,H2Tank,61,H2,31.268079432631577
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,120.02165874185474
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,5.002686766211856
2030,NO,H2Tank,61,H2,40.0
2040,FR,H2Tank,96,H2,8.548049965839253
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,207.9527837892988
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,11.0625
2040,DK,Battery,106,Power,41.14656088959206
2030,FR,Battery,68,Power,62.85135621708244
2050,UK,Battery,47,Power,253.79549201894497
2040,DE,H2Tank,98,H2,0.0
2050,NO,PHS,92,Power,438.1825398728395
2050,FR,PHS,83,Power,587.3859610687587
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,-0.0
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
