Year,Region,Technology,value
2020,NO,GasPowerPlantCC,669.2956232363176
2030,NO,GasPowerPlantCC,530.9846940527847
2040,NO,GasPowerPlantCC,225.7493175000002
2020,FR,CoalCHPPlantCC,2222.132812604542
2030,FR,CoalCHPPlantCC,1407.0213385427655
2040,FR,CoalCHPPlantCC,589.572893409742
2020,UK,CoalCHPPlantCC,5642.853126711952
2030,UK,CoalCHPPlantCC,3554.062022997235
2040,UK,CoalCHPPlantCC,2624.308291209052
2030,DE,GasCHPPlantCC,902.6828723300933
2040,DE,GasCHPPlantCC,2969.317273592306
2050,DE,GasCHPPlantCC,2203.9985407759063
2030,FR,GasCHPPlantCC,154.9606547127972
2040,FR,GasCHPPlantCC,745.9170802454935
2050,FR,GasCHPPlantCC,403.34409150402274
2020,NO,GasCHPPlantCC,425.1385170483083
2030,NO,GasCHPPlantCC,612.7623280088999
2040,NO,GasCHPPlantCC,493.51436864850314
2050,NO,GasCHPPlantCC,151.9865045999999
2020,DK,GasCHPPlantCC,572.2820407377645
2030,DK,GasCHPPlantCC,863.5453082349533
2040,DK,GasCHPPlantCC,1129.3908570000006
2050,DK,GasCHPPlantCC,503.4928830459426
2030,UK,GasCHPPlantCC,139.20070461220476
2040,UK,GasCHPPlantCC,1093.1756527023979
2050,UK,GasCHPPlantCC,813.0020176716463
2050,FR,BECCS,93.60811334277619
